Code,Food Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
0,Grapes,3,0.01g,0.003g,-,0.002g,0g,0mg,0mg,0.9g,0g,0.77g,0.04g,-,0mg,0.02mg,10mg,0mcg,0.5mg
1,Apples,72,0.23g,0.039g,-,0.07g,0.01g,0mg,1mg,19.06g,3.3g,14.34g,0.36g,-,8mg,0.17mg,148mg,4mcg,6.3mg
2,Fried Chicken,195,7.72g,2.172g,-,1.646g,3.005g,83mg,393mg,0g,0g,0g,29.55g,-,14mg,1.06mg,243mg,28mcg,0mg
3,Meatball,35,1.62g,0.256g,-,0.84g,0.394g,0mg,99mg,1.44g,0.8g,0.22g,3.78g,-,4mg,0.39mg,32mg,0mcg,0mg
4,Bakwan,137,11.59g,3.026g,3.324g,1.253g,6.654g,29mg,98mg,6.74g,0.7g,1.05g,1.99g,0mcg,12mg,0.58mg,74mg,78mcg,4.1mg
5,Hamburger,272,9.77g,3.563g,-,1.005g,3.405g,30mg,534mg,34.25g,2.3g,6.7g,12.32g,-,126mg,2.71mg,251mg,4mcg,2.2mg
6,Cheesecake,257,18g,7.937g,-,1.282g,6.907g,44mg,166mg,20.4g,0.3g,-,4.4g,-,41mg,0.5mg,72mg,114mcg,0.3mg
7,Crepes,144,5.43g,1.364g,-,1.296g,2.286g,60mg,137mg,20.72g,0.9g,12.84g,3.58g,-,37mg,0.75mg,85mg,66mcg,2.9mg
8,Donut,192,10.3g,2.667g,-,1.309g,5.714g,14mg,181mg,22.86g,0.7g,-,2.34g,-,27mg,0.48mg,46mg,1mcg,0mg
9,Ice Cream,267,14.26g,8.801g,-,0.575g,3.897g,53mg,98mg,32.45g,0.9g,29.66g,4.68g,-,168mg,0.19mg,269mg,146mcg,0.8mg
10,Fish Cooked,127,1.38g,0.298g,-,0.56g,0.243g,87mg,481mg,0g,0g,0g,26.33g,-,16mg,0.41mg,405mg,27mcg,0.2mg
11,Kebab,620,16.63g,6.141g,0g,1.526g,6.653g,53mg,1029mg,77.1g,4.3g,6.91g,37.87g,-,176mg,4.15mg,814mg,37mcg,22.2mg
12,French Fries,156,8.01g,1.869g,-,1.304g,4.664g,0mg,171mg,20.33g,1.9g,0.33g,1.98g,-,7mg,0.69mg,300mg,0mcg,3.1mg
13,Fried Rice,333,12.34g,2.251g,-,5.344g,3.776g,103mg,822mg,41.7g,1.4g,1.5g,12.47g,-,38mg,2.75mg,202mg,42mcg,3.4mg
14,Nasi Kuning,348,12.39g,5.805g,-,1.773g,3.866g,54mg,294mg,50.58g,3g,7.2g,9.74g,-,56mg,3.45mg,385mg,76mcg,2.5mg
15,Pizza,237,10.1g,4.304g,-,1.776g,2.823g,21mg,462mg,26.08g,1.6g,3.06g,10.6g,-,181mg,1.6mg,138mg,68mcg,0.3mg
